get | время выполнения - 0.6348421573638916 секунд
get | время выполнения - 0.14609503746032715 секунд
get | время выполнения - 0.49512410163879395 секунд
get | время выполнения - 0.13703417778015137 секунд
get | время выполнения - 0.08602142333984375 секунд
get | время выполнения - 0.5781691074371338 секунд
get | время выполнения - 0.09787344932556152 секунд
get | время выполнения - 0.08102035522460938 секунд
get | время выполнения - 0.07586193084716797 секунд
get | время выполнения - 0.14503693580627441 секунд
get | время выполнения - 3.5902323722839355 секунд
get | время выполнения - 1.383864164352417 секунд
get | время выполнения - 0.5752749443054199 секунд
get | время выполнения - 0.577416181564331 секунд
get | время выполнения - 0.584139347076416 секунд
get | время выполнения - 0.5750942230224609 секунд
get | время выполнения - 0.5841436386108398 секунд
get | время выполнения - 0.14904332160949707 секунд
get | время выполнения - 0.0919344425201416 секунд
get | время выполнения - 0.5431385040283203 секунд
get | время выполнения - 0.14289593696594238 секунд
get | время выполнения - 0.1050269603729248 секунд
get | время выполнения - 0.6069581508636475 секунд
get | время выполнения - 0.6641542911529541 секунд
get | время выполнения - 0.6271581649780273 секунд
get | время выполнения - 0.08902192115783691 секунд
get | время выполнения - 0.07998800277709961 секунд
get | время выполнения - 0.09202742576599121 секунд
get | время выполнения - 0.08502459526062012 секунд
get | время выполнения - 0.14803218841552734 секунд
get | время выполнения - 0.09612250328063965 секунд
get | время выполнения - 0.11003303527832031 секунд
get | время выполнения - 1.5075128078460693 секунд
get | время выполнения - 0.18202948570251465 секунд
get | время выполнения - 0.0830378532409668 секунд
get | время выполнения - 1.043252944946289 секунд
get | время выполнения - 0.07987070083618164 секунд
get | время выполнения - 0.9862549304962158 секунд
get | время выполнения - 1.1943535804748535 секунд
get | время выполнения - 0.0998842716217041 секунд
get | время выполнения - 0.09102535247802734 секунд
get | время выполнения - 0.14714455604553223 секунд
get | время выполнения - 0.598292350769043 секунд
get | время выполнения - 1.1662888526916504 секунд
get | время выполнения - 0.09717750549316406 секунд
get | время выполнения - 4.0510077476501465 секунд
get | время выполнения - 0.8180606365203857 секунд
get | время выполнения - 0.13303470611572266 секунд
get | время выполнения - 0.09817743301391602 секунд
get | время выполнения - 0.09011626243591309 секунд
get | время выполнения - 0.9655497074127197 секунд
get | время выполнения - 0.08104753494262695 секунд
get | время выполнения - 0.8972537517547607 секунд
get | время выполнения - 1.6704199314117432 секунд
get | время выполнения - 0.08002376556396484 секунд
get | время выполнения - 0.07702302932739258 секунд
get | время выполнения - 1.07126784324646 секунд
get | время выполнения - 0.09502577781677246 секунд
get | время выполнения - 0.38016176223754883 секунд
get | время выполнения - 4.849344730377197 секунд
get | время выполнения - 5.596515893936157 секунд
get | время выполнения - 1.700575590133667 секунд
get | время выполнения - 1.3213346004486084 секунд
get | время выполнения - 0.729334831237793 секунд
get | время выполнения - 1.1149871349334717 секунд
get | время выполнения - 1.0102522373199463 секунд
get | время выполнения - 0.604933500289917 секунд
get | время выполнения - 0.9183070659637451 секунд
get | время выполнения - 0.3869647979736328 секунд
get | время выполнения - 0.08302140235900879 секунд
get | время выполнения - 2.81486439704895 секунд
get | время выполнения - 2.304583787918091 секунд
get | время выполнения - 0.13716626167297363 секунд
get | время выполнения - 0.1790454387664795 секунд
get | время выполнения - 0.08402156829833984 секунд
get | время выполнения - 4.747041940689087 секунд
get | время выполнения - 0.8282086849212646 секунд
get | время выполнения - 0.7610423564910889 секунд
get | время выполнения - 1.1993036270141602 секунд
get | время выполнения - 0.1520376205444336 секунд
get | время выполнения - 4.7661943435668945 секунд
get | время выполнения - 2.1935501098632812 секунд
get | время выполнения - 3.6109039783477783 секунд
get | время выполнения - 0.42310571670532227 секунд
get | время выполнения - 4.622271776199341 секунд
get | время выполнения - 0.7971711158752441 секунд
get | время выполнения - 6.683681011199951 секунд
get | время выполнения - 2.6776669025421143 секунд
get | время выполнения - 0.14798665046691895 секунд
get | время выполнения - 3.2415173053741455 секунд
get | время выполнения - 3.158792018890381 секунд
get | время выполнения - 0.8422079086303711 секунд
get | время выполнения - 3.9680001735687256 секунд
get | время выполнения - 0.09706950187683105 секунд
get | время выполнения - 1.653416395187378 секунд
get | время выполнения - 0.1100301742553711 секунд
get | время выполнения - 4.467120885848999 секунд
get | время выполнения - 1.5363867282867432 секунд
get | время выполнения - 0.12903428077697754 секунд
get | время выполнения - 1.5940227508544922 секунд
get | время выполнения - 0.1210627555847168 секунд
get | время выполнения - 1.9282431602478027 секунд
get | время выполнения - 1.2583165168762207 секунд
get | время выполнения - 1.2116708755493164 секунд
get | время выполнения - 0.9320602416992188 секунд
get | время выполнения - 1.8130152225494385 секунд
